Variant,Order,LOW_VOL,MED_VOL,HIGH_VOL,CRISIS
Kalman-Mu MV,LOW_VOL -> MED_VOL -> HIGH_VOL,2.0,2.0,0.01,1.0
Kalman-Mu MV,LOW_VOL -> HIGH_VOL -> MED_VOL,2.0,2.0,0.5,1.0
Kalman-Mu MV,MED_VOL -> LOW_VOL -> HIGH_VOL,0.01,5.0,0.01,1.0
Kalman-Mu MV,MED_VOL -> HIGH_VOL -> LOW_VOL,0.01,5.0,0.01,1.0
Kalman-Mu MV,HIGH_VOL -> LOW_VOL -> MED_VOL,0.5,2.0,0.2,1.0
Kalman-Mu MV,HIGH_VOL -> MED_VOL -> LOW_VOL,0.01,2.0,0.2,1.0
Kalman-Sigma MV,LOW_VOL -> MED_VOL -> HIGH_VOL,0.05,0.01,20.0,1.0
Kalman-Sigma MV,LOW_VOL -> HIGH_VOL -> MED_VOL,0.05,0.01,20.0,1.0
Kalman-Sigma MV,MED_VOL -> LOW_VOL -> HIGH_VOL,20.0,0.01,20.0,1.0
Kalman-Sigma MV,MED_VOL -> HIGH_VOL -> LOW_VOL,20.0,0.01,20.0,1.0
Kalman-Sigma MV,HIGH_VOL -> LOW_VOL -> MED_VOL,0.05,0.01,20.0,1.0
Kalman-Sigma MV,HIGH_VOL -> MED_VOL -> LOW_VOL,20.0,0.01,20.0,1.0
Kalman-Full MV,LOW_VOL -> MED_VOL -> HIGH_VOL,5.0,5.0,0.2,1.0
Kalman-Full MV,LOW_VOL -> HIGH_VOL -> MED_VOL,5.0,5.0,1.0,1.0
Kalman-Full MV,MED_VOL -> LOW_VOL -> HIGH_VOL,0.01,5.0,0.2,1.0
Kalman-Full MV,MED_VOL -> HIGH_VOL -> LOW_VOL,0.1,5.0,0.2,1.0
Kalman-Full MV,HIGH_VOL -> LOW_VOL -> MED_VOL,1.0,5.0,0.2,1.0
Kalman-Full MV,HIGH_VOL -> MED_VOL -> LOW_VOL,0.1,5.0,0.2,1.0
