Period,Strategy,Cost (bps),Avg Turnover,Ann. Return (%),Ann. Vol (%),Sharpe,Max Drawdown (%)
Full,Equal Weight,0,0.0,8.72,12.0,0.726,-28.11
Full,Rolling MV,0,0.6945,10.2,13.31,0.767,-31.13
Full,Static MV,0,0.0073,12.81,15.44,0.83,-27.8
Full,Kalman MV,0,0.6696,10.43,13.16,0.793,-27.82
Full,Equal Weight,5,0.0,8.72,12.0,0.726,-28.11
Full,Rolling MV,5,0.6945,9.88,13.31,0.743,-31.43
Full,Static MV,5,0.0073,12.81,15.44,0.83,-27.8
Full,Kalman MV,5,0.6696,10.12,13.16,0.769,-27.95
Full,Equal Weight,10,0.0,8.72,12.0,0.726,-28.11
Full,Rolling MV,10,0.6945,9.56,13.31,0.718,-31.73
Full,Static MV,10,0.0073,12.81,15.44,0.83,-27.8
Full,Kalman MV,10,0.6696,9.81,13.16,0.746,-28.08
Full,Equal Weight,20,0.0,8.72,12.0,0.726,-28.11
Full,Rolling MV,20,0.6945,8.92,13.32,0.67,-32.33
Full,Static MV,20,0.0073,12.81,15.44,0.83,-27.8
Full,Kalman MV,20,0.6696,9.19,13.16,0.699,-28.34
