Period,Strategy,Cost (bps),Avg Turnover,Ann. Return (%),Ann. Vol (%),Sharpe,Max Drawdown (%)
OOS,Equal Weight,0,0.0,18.7,12.99,1.385,-10.74
OOS,Rolling MV,0,0.6,21.95,15.72,1.341,-12.11
OOS,Static MV,0,0.0,15.25,17.72,0.889,-17.74
OOS,Ledoit-Wolf MV,0,0.5892,22.42,15.76,1.363,-12.11
OOS,Kalman-Mu MV,0,0.68,23.76,16.09,1.406,-12.07
OOS,Kalman-Sigma MV,0,0.6,21.96,15.72,1.342,-12.11
OOS,Kalman-Full MV,0,0.8327,21.21,15.92,1.288,-12.07
OOS,Equal Weight,5,0.0,18.7,12.99,1.385,-10.74
OOS,Rolling MV,5,0.6,21.65,15.71,1.326,-12.11
OOS,Static MV,5,0.0,15.25,17.72,0.889,-17.74
OOS,Ledoit-Wolf MV,5,0.5892,22.13,15.75,1.349,-12.11
OOS,Kalman-Mu MV,5,0.68,23.42,16.09,1.389,-12.07
OOS,Kalman-Sigma MV,5,0.6,21.66,15.71,1.327,-12.11
OOS,Kalman-Full MV,5,0.8327,20.8,15.91,1.268,-12.07
OOS,Equal Weight,10,0.0,18.7,12.99,1.385,-10.74
OOS,Rolling MV,10,0.6,21.36,15.71,1.311,-12.11
OOS,Static MV,10,0.0,15.25,17.72,0.889,-17.74
OOS,Ledoit-Wolf MV,10,0.5892,21.84,15.74,1.334,-12.11
OOS,Kalman-Mu MV,10,0.68,23.09,16.08,1.372,-12.07
OOS,Kalman-Sigma MV,10,0.6,21.37,15.71,1.312,-12.11
OOS,Kalman-Full MV,10,0.8327,20.4,15.91,1.247,-12.07
OOS,Equal Weight,20,0.0,18.7,12.99,1.385,-10.74
OOS,Rolling MV,20,0.6,20.77,15.7,1.281,-12.11
OOS,Static MV,20,0.0,15.25,17.72,0.889,-17.74
OOS,Ledoit-Wolf MV,20,0.5892,21.26,15.74,1.304,-12.11
OOS,Kalman-Mu MV,20,0.68,22.41,16.08,1.339,-12.07
OOS,Kalman-Sigma MV,20,0.6,20.78,15.7,1.282,-12.11
OOS,Kalman-Full MV,20,0.8327,19.59,15.9,1.205,-12.07
